mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3837007522583008,0.18542284224388517,0.09846696853637696,0.09843067425010647,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",56.28303458126046,38.480458786742716,61.8655455832679,59.98959745926912,65.28493533252227,56.38071434861249,9.410858120559816,1
0.4139151096343994,0.046317779131066134,0.08506784439086915,0.008646057197370152,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",55.65369330337577,36.54634474894709,60.90909859134946,60.31571874850692,66.08624275504576,55.90221962944501,10.227157925446662,3
0.5705099105834961,0.11787815468800096,0.12407336235046387,0.0300714642492762,,2,150,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 150}",56.070497168297514,37.372151349366746,61.0933888400743,60.288326795394276,65.89539283153782,56.14395139693413,9.8908974420826,2
0.14509458541870118,0.006096727363315081,0.03259906768798828,0.002258270840792713,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",45.524019562293184,28.377344280496416,53.647421627788646,57.80103576215372,61.03294957468745,49.27655416148389,11.669126716660859,7
0.29386372566223146,0.05302256573711799,0.0714637279510498,0.022219635453702594,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",45.6307740888922,28.717014426775222,53.13637452331019,57.30419496485134,60.94977479007388,49.14762655878057,11.414977746314488,8
0.6547023773193359,0.20941800771653452,0.12862825393676758,0.04668981738784082,,5,150,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 150}",45.74622326245542,27.9426203885068,51.98845562834887,57.30887346116528,61.22605375013429,48.842445298122136,11.67322420993734,10
0.16722874641418456,0.04898242098359569,0.04471421241760254,0.02228713852892407,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",41.52019172850113,25.645463070750566,48.793882542855584,55.526066417997356,57.19327572678438,45.735775897377806,11.470552963399165,14
0.32290940284729003,0.10706656897612257,0.07421565055847168,0.019968675864401427,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",41.65236353327395,25.876010352679234,48.83830005200631,54.66674856245561,57.652223202020956,45.73712914048721,11.335556273144565,13
0.6443411827087402,0.25597887143420023,0.3352497100830078,0.41983392717610307,,10,150,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 150}",41.68027679450967,25.701012663851685,48.45724313604955,54.661168579719956,57.552430674024485,45.61042636963107,11.353084134735369,15
0.11839118003845214,0.008017182991077211,0.027529287338256835,0.0008892845453928861,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",37.3463840886678,26.690395448225072,53.361872137154315,45.20917013391047,49.61063476858613,42.443691315308754,9.51176635179574,20
0.22074947357177735,0.024872124445898754,0.055892229080200195,0.013712066802622264,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",36.46788295248194,26.27023814907365,52.769918035658016,45.252326966912555,49.763463526725495,42.10476592617034,9.641731986973728,24
0.36441612243652344,0.04142092229379241,0.0770071029663086,0.006339952866378448,5,2,150,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 150}",36.79617406771628,26.21930334672919,52.95698101107604,45.282211428813994,49.74885404417785,42.20070477970267,9.662110151427306,23
0.10222349166870118,0.0015962446229455909,0.025795745849609374,0.0019460776535921074,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",38.478699291547926,28.327221517170994,51.80328614099204,44.16857965494038,49.90942831553795,42.53744298403786,8.500193156334989,19
0.1976147174835205,0.006196840687798691,0.04925880432128906,0.005493581940564926,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",37.22755611017926,28.478297843174968,51.56337218721957,44.1708278880864,49.95492302452443,42.278995410636924,8.54019717969883,22
0.3090034484863281,0.03763672860710089,0.07523326873779297,0.00883948929087883,5,5,150,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 150}",37.317993173826984,28.223734784519174,51.75674610578154,44.27829276966468,50.01378264378496,42.31810989551547,8.669557387298292,21
0.10626311302185058,0.0065641795903607515,0.02496647834777832,0.0010702291818733712,5,10,50,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",37.085402438066986,28.09166797083938,50.68386871674337,43.80102505176864,48.77818606314506,41.68803004811269,8.266866591497367,27
0.19837894439697265,0.010018395241080448,0.04598026275634766,0.0015508415600151068,5,10,100,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",36.157856388347064,28.8926706066153,51.45362662656701,44.32747610190888,48.774827938677035,41.92129153242306,8.325722139126368,26
0.2984960079193115,0.01242370914710815,0.06660728454589844,0.0022054877039407077,5,10,150,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 150}",36.57865385238472,28.818340015709776,51.462915157533565,44.39744758933408,48.674842924677435,41.98643990792791,8.28244264579737,25
0.10525445938110352,0.002977668851495258,0.026100540161132814,0.003834205783648822,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",54.45052274415477,37.19992545086253,58.05186866719527,54.921242002695124,61.473475179263964,53.219406808834336,8.396642242324123,4
0.2428724765777588,0.01825190766507539,0.05245552062988281,0.006564763430441747,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",54.95536811866181,35.70206464130425,56.7048466809588,54.229736164542864,62.02440566634998,52.723284254363534,8.936858639682356,5
